Company,Symbol,BalanceSheetURL,ProfitLossURL
Acrysil Limited,ACRYSIL,https://www.moneycontrol.com/financials/acrysillimited/balance-sheetVI/ACRYSIL#ACRYSIL,https://www.moneycontrol.com/financials/acrysillimited/profit-lossVI/ACRYSIL#ACRYSIL
Adani Enterprises Limited,ADANIENT,https://www.moneycontrol.com/financials/adanienterpriseslimited/balance-sheetVI/ADANIENT#ADANIENT,https://www.moneycontrol.com/financials/adanienterpriseslimited/profit-lossVI/ADANIENT#ADANIENT
Adani Green Energy Limited,ADANIGREEN,https://www.moneycontrol.com/financials/adanigreenenergylimited/balance-sheetVI/ADANIGREEN#ADANIGREEN,https://www.moneycontrol.com/financials/adanigreenenergylimited/profit-lossVI/ADANIGREEN#ADANIGREEN
Adani Ports and Special Economic Zone Limited,ADANIPORTS,https://www.moneycontrol.com/financials/adaniportsandspecialeconomiczonelimited/balance-sheetVI/ADANIPORTS#ADANIPORTS,https://www.moneycontrol.com/financials/adaniportsandspecialeconomiczonelimited/profit-lossVI/ADANIPORTS#ADANIPORTS
Adani Power Limited,ADANIPOWER,https://www.moneycontrol.com/financials/adanipowerlimited/balance-sheetVI/ADANIPOWER#ADANIPOWER,https://www.moneycontrol.com/financials/adanipowerlimited/profit-lossVI/ADANIPOWER#ADANIPOWER
Adani Transmission Limited,ADANITRANS,https://www.moneycontrol.com/financials/adanitransmissionlimited/balance-sheetVI/ADANITRANS#ADANITRANS,https://www.moneycontrol.com/financials/adanitransmissionlimited/profit-lossVI/ADANITRANS#ADANITRANS
ADF Foods Limited,ADFFOODS,https://www.moneycontrol.com/financials/adffoodslimited/balance-sheetVI/ADFFOODS#ADFFOODS,https://www.moneycontrol.com/financials/adffoodslimited/profit-lossVI/ADFFOODS#ADFFOODS
Adhunik Industries Limited,ADHUNIKIND,https://www.moneycontrol.com/financials/adhunikindustrieslimited/balance-sheetVI/ADHUNIKIND#ADHUNIKIND,https://www.moneycontrol.com/financials/adhunikindustrieslimited/profit-lossVI/ADHUNIKIND#ADHUNIKIND
Archidply Decor Limited,ADL,https://www.moneycontrol.com/financials/archidplydecorlimited/balance-sheetVI/ADL#ADL,https://www.moneycontrol.com/financials/archidplydecorlimited/profit-lossVI/ADL#ADL
Ador Welding Limited,ADORWELD,https://www.moneycontrol.com/financials/adorweldinglimited/balance-sheetVI/ADORWELD#ADORWELD,https://www.moneycontrol.com/financials/adorweldinglimited/profit-lossVI/ADORWELD#ADORWELD
Adroit Infotech Limited,ADROITINFO,https://www.moneycontrol.com/financials/adroitinfotechlimited/balance-sheetVI/ADROITINFO#ADROITINFO,https://www.moneycontrol.com/financials/adroitinfotechlimited/profit-lossVI/ADROITINFO#ADROITINFO
Allied Digital Services Limited,ADSL,https://www.moneycontrol.com/financials/allieddigitalserviceslimited/balance-sheetVI/ADSL#ADSL,https://www.moneycontrol.com/financials/allieddigitalserviceslimited/profit-lossVI/ADSL#ADSL
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,https://www.moneycontrol.com/financials/advanihotelsresortsindialimited/balance-sheetVI/ADVANIHOTR#ADVANIHOTR,https://www.moneycontrol.com/financials/advanihotelsresortsindialimited/profit-lossVI/ADVANIHOTR#ADVANIHOTR
Advanced Enzyme Technologies Limited,ADVENZYMES,https://www.moneycontrol.com/financials/advancedenzymetechnologieslimited/balance-sheetVI/ADVENZYMES#ADVENZYMES,https://www.moneycontrol.com/financials/advancedenzymetechnologieslimited/profit-lossVI/ADVENZYMES#ADVENZYMES
Aegis Logistics Limited,AEGISCHEM,https://www.moneycontrol.com/financials/aegislogisticslimited/balance-sheetVI/AEGISCHEM#AEGISCHEM,https://www.moneycontrol.com/financials/aegislogisticslimited/profit-lossVI/AEGISCHEM#AEGISCHEM
